# Serial Port vs IDP Detection Result Comparison Log
# Format: [TIMESTAMP] ROUND_ID | SERIAL_RESULT | IDP_RESULT | MATCH_STATUS | NOTES
# ================================================================================
[2025-11-18 14:15:46.319] ARO-001-a06a1296-92d7-43a9-aa7b-53b0e92ae33f | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-18 14:16:32.828] ARO-001-88dd6c02-0a5b-4b42-8b55-cbc6169aa33d | SERIAL: 21 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-18 14:17:20.826] ARO-001-272071a7-3a94-4092-992e-f9934e868f84 | SERIAL: 29 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-18 14:18:08.826] ARO-001-f2447c7c-c3ed-4b2a-af37-51ce9a719406 | SERIAL: 5 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:00:59.687] ARO-001-daaf3d6b-6fe9-45a9-a5f0-fc5ec342c2b6 | SERIAL: 13 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:01:42.175] ARO-001-68eeb8ad-47f9-49d9-8b07-1d72528d46c4 | SERIAL: 16 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:02:47.413] ARO-001-98f370df-274a-4d4a-a46c-0ca278e9794e | SERIAL: 24 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:03:23.678] ARO-001-86244681-b8b6-48c2-b909-895f447ee676 | SERIAL: 2 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:04:13.675] ARO-001-fe9eabc4-c2d5-4e72-8aee-eea6c18a1f14 | SERIAL: 6 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:04:55.182] ARO-001-205f0dbe-30a1-4548-9953-0233cc1e1dc9 | SERIAL: 16 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:05:43.697] ARO-001-9d00f533-e145-4887-b5e9-6352c6e5d2da | SERIAL: 3 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
